,label,study_and_condition
2307,__label__1,non hodgkin lymphom diagnos hist cent nerv system cns diseas non hodgkin lymphoma diagnosis history central nervous system cns disease
2308,__label__0,melanom skin diagnos eject fract greater_than fortyf echocardiogram thall stress test paty greater_than fifty year ag hist cardiovascul diseas melanoma skin diagnosis ejection fraction greater_than fortyfive echocardiogram thallium stress test patients greater_than fifty years age history cardiovascular disease
2309,__label__0,stag iv colon cant diagnos poor control angin stage iv colon cancer diagnosis poorly control angina
2310,__label__0,stag ii non smal cel lung cant diagnos paty must wil abl sign inform cons pri start tri stage iiia non small cell lung cancer diagnosis patient must will able sign inform consent prior start trial
2311,__label__0,recur grad on follicul lymphom diagnos nat postmenopaus least one2 consecut month mens tim prec one2 consecut month recurrent grade one follicular lymphoma diagnosis naturally postmenopausal least one2 consecutive months menses time precede one2 consecutive months
2312,__label__1,refract multipl myelom diagnos don refractory multiple myeloma diagnosis donor
2313,__label__1,stag ii adult diffus smal cleav cel lymphom diagnos lansky play perform scor less_than sixty pedy paty stage iii adult diffuse small cleave cell lymphoma diagnosis lansky play performance score less_than sixty pediatric patients
2314,__label__0,multipl myelom plasm cel neoplasm diagnos unst angin within past six month multiple myeloma plasma cell neoplasm diagnosis unstable angina within past six months
2315,__label__0,recur gastrointestin carcinoid tum diagnos concur immunotherapy recurrent gastrointestinal carcinoid tumor diagnosis concurrent immunotherapy
2316,__label__1,breast cant diagnos neurolog diseas multipl sclerosis breast cancer diagnosis neurological diseases multiple sclerosis
2317,__label__0,multipl myelom plasm cel neoplasm diagnos pri concur therapy multiple myeloma plasma cell neoplasm diagnosis prior concurrent therapy
2318,__label__1,child grad ii lymphomatoid granulomatos diagnos paty ren fail elig howev paty ren comprom ser creatinin gre doc lik comprom ren funct may requir hemodialys may perm due nee maintain adequ ser cyclosporin level childhood grade iii lymphomatoid granulomatosis diagnosis patients renal failure eligible however patients renal compromise serum creatinine greater doc likely compromise renal function may require hemodialysis may permanent due need maintain adequate serum cyclosporine level
2319,__label__0,germ cel tum diagnos diseas stat enrol germ cell tumors diagnosis disease status enrollment
2320,__label__0,recur grad three follicul lymphom diagnos diffus capac lung carbon monoxid dlco forc expir volum on second fevon forc vit capac fvc gre fifty predict correct hemoglobin recurrent grade three follicular lymphoma diagnosis diffuse capacity lung carbon monoxide dlco force expiratory volume one second fevone force vital capacity fvc greater fifty predict correct hemoglobin
2321,__label__0,lung cant diagnos paty charact lung cancer diagnosis patient characteristics
2322,__label__1,adenocarcinom esophagogast junct diagnos brain metastas adenocarcinoma esophagogastric junction diagnosis brain metastases
2323,__label__1,gliosarcom diagnos act infect requir iv antibiot gliosarcoma diagnosis active infection require iv antibiotics
2324,__label__1,on pres hemosiderin two resolv hemorrh chang rel surgery three pres punct hemorrh tum one presence hemosiderin two resolve hemorrhagic change relate surgery three presence punctate hemorrhage tumor
2325,__label__0,recur ov carcinom diagnos paty chemotherapy also elig requir rec criter recurrent ovarian carcinoma diagnosis patients chemotherapy also eligible require recist criteria
2326,__label__0,bren tum diagnos concur amifostin protect ag brenner tumor diagnosis concurrent amifostine protective agents
2327,__label__1,head neck cant diagnos ple pericard effus grad head neck cancer diagnosis pleural pericardial effusion grade
2328,__label__1,recur child anaplast larg cel lymphom diagnos paty recov advers ev due ag admin four week ear recurrent childhood anaplastic large cell lymphoma diagnosis patients recover adverse events due agents administer four weeks earlier
2329,__label__1,prost adenocarcinom diagnos med interv condit opin pi tre phys could comprom paty saf adh study requir includ biopsy leukapheres proc prim three six mon tre period prostate adenocarcinoma diagnosis medical intervention condition opinion pi treat physician could compromise patient safety adherence study requirements include biopsies leukapheresis procedures primary three six month treatment period
2330,__label__1,recur breast carcinom diagnos paty rec within six month art thrombotic ev includ transy ischem attack tia cerebrovascul accid cva unst angin myocard infarct mi clin sign periph artery diseas recurrent breast carcinoma diagnosis patients recent within six months arterial thrombotic events include transient ischemic attack tia cerebrovascular accident cva unstable angina myocardial infarction mi clinically significant peripheral artery disease
2331,__label__0,lymphom diagnos uncontrol clin sign confound med condit within past thirty day lymphoma diagnosis uncontrolled clinically significant confound medical condition within past thirty days
2332,__label__1,cerv cant diagnos paty hypersensit bortezomib boron mannitol cervical cancer diagnosis patient hypersensitivity bortezomib boron mannitol
2333,__label__0,multipl myelom plasm cel neoplasm diagnos ren multiple myeloma plasma cell neoplasm diagnosis renal
2334,__label__0,recur mantl cel lymphom diagnos concur antibiot antifung antivir recurrent mantle cell lymphoma diagnosis concurrent antibiotics antifungals antivirals
2335,__label__0,colorect cant diagnos least thirty day sint pri investig ag colorectal cancer diagnosis least thirty days since prior investigational agents
2336,__label__0,nod margin zon cel lymphom diagnos see diseas charact nodal marginal zone cell lymphoma diagnosis see disease characteristics
2337,__label__0,lymphom diagnos pulmon lymphoma diagnosis pulmonary
2338,__label__1,stag iv mantl cel lymphom diagnos in collect adequ stem cel stage iv mantle cell lymphoma diagnosis inability collect adequate stem cells
2339,__label__0,stag iv rect cant diagnos hemoglobin greater_than equal_than nineg dl stage iva rectal cancer diagnosis hemoglobin greater_than equal_than nineg dl
2340,__label__1,recur adult diffus larg cel lymphom diagnos concomit therapy follow recurrent adult diffuse large cell lymphoma diagnosis concomitant therapy follow
2341,__label__0,stag ii grad three follicul lymphom diagnos uncontrol dysrhythm requir med stage iii grade three follicular lymphoma diagnosis uncontrolled dysrhythmia require medication
2342,__label__0,burkit lymphom bl diagnos follow effect method contraceiv burkitt lymphoma bl diagnosis follow effective methods contraception
2343,__label__1,recur child lymphoblast lymphom diagnos paty cent nerv system cns involv diseas refract intrathec chemotherapy recurrent childhood lymphoblastic lymphoma diagnosis patient central nervous system cns involvement disease refractory intrathecal chemotherapy
2344,__label__0,recur adult diffus smal cleav cel lymphom diagnos tot bilirubin less_than doc tim up limit norm recurrent adult diffuse small cleave cell lymphoma diagnosis total bilirubin less_than doc time upper limit normal
2345,__label__0,lung adenocarcinom diagnos paty must meas stag iv diseas includ mone moneb stag recur diseas accord seventh_edition tnm class system lung adenocarcinoma diagnosis patient must measurable stage iv disease include monea moneb stag recurrent disease accord seventh_edition tnm classification system
2346,__label__0,cholangiocarcinom extrahep bil duc diagnos acceiv inform cons cholangiocarcinoma extrahepatic bile duct diagnosis accept inform consent
2347,__label__1,stag iv melanom diagnos posit pregn test baselin stage iv melanoma diagnosis positive pregnancy test baseline
2348,__label__1,stag ii squam cel carcinom oropharynx diagnos sod less_than on hundr thirty mmol greater_than on hundr fiftyf mmol despit interv norm level stage iii squamous cell carcinoma oropharynx diagnosis sodium less_than one hundred thirty mmol greater_than one hundred fiftyfive mmol despite intervention normalize level
2349,__label__0,metast breast cant diagnos urin dipstick proteinur less_than equal_than on metastatic breast cancer diagnosis urine dipstick proteinuria less_than equal_than one
2350,__label__1,stag ii margin zon lymphom diagnos cur malign stage iii marginal zone lymphoma diagnosis current malignancy
2351,__label__1,recur mantl cel lymphom diagnos paty known posit hum immunodeficy vir hiv infecty hepatit typ c recurrent mantle cell lymphoma diagnosis patients know positive human immunodeficiency virus hiv infectious hepatitis type c
2352,__label__1,glioblastom diagnos lung funct glioblastoma diagnosis lung function
2353,__label__0,tubul breast cant stag ii diagnos hemoglobin greater_than ten dl greater_than doc mmol hep funct tubular breast cancer stage ii diagnosis hemoglobin greater_than ten dl greater_than doc mmol hepatic function
